description,id,name,preflabel,semantic_groups,synonyms
NA,FlyBase:FBgn0259952,Seminal fluid protein 24Bb,Sfp24Bb,GENE,CG42462|Dmel\CG42462|SFP24BB
NA,FlyBase:FBgn0036992,uncharacterized protein,CG11796,GENE,Dmel\CG11796
NA,FlyBase:FBgn0265541,NA,CR44391,GENE,NA
NA,FlyBase:FBgn0033308,uncharacterized protein,CG8736,GENE,BcDNA:RH08259|Dmel\CG8736
NA,FlyBase:FBgn0039475,uncharacterized protein,CG6277,GENE,DmelL2|Dmel\CG6277
"The protein encoded by this gene is an integral membrane protein of the endoplasmic reticulum. It is a high affinity binding protein for the antiischemic phenylalkylamine Ca2+ antagonist [3H]emopamil and the photoaffinity label [3H]azidopamil. It is similar to sigma receptors and may be a member of a superfamily of high affinity drug-binding proteins in the endoplasmic reticulum of different tissues. This protein shares structural features with bacterial and eukaryontic drug transporting proteins. It has four putative transmembrane segments and contains two conserved glutamate residues which may be involved in the transport of cationic amphiphilics. Another prominent feature of this protein is its high content of aromatic amino acid residues (>23%) in its transmembrane segments. These aromatic amino acid residues have been suggested to be involved in the drug transport by the P-glycoprotein. Mutations in this gene cause Chondrodysplasia punctata 2 (CDPX2; also known as Conradi-Hunermann syndrome). [provided by RefSeq, Jul 2008].",FlyBase:FBgn0004181,"EBP, cholestenol delta-isomerase",Ebp,GENE,CDPX2|CHO2|CPX|CPXD|MEND
NA,FlyBase:FBgn0032076,uncharacterized protein,CG9510,GENE,BEST:GH06087|CG33085|Dmel\CG9510|gh06087
NA,FlyBase:FBgn0032835,uncharacterized protein,CG16772,GENE,Dmel\CG16772|anon-WO0138581.5
NA,FlyBase:FBgn0035476,uncharacterized protein,CG12766,GENE,Dmel\CG12766
NA,FlyBase:FBgn0031373,uncharacterized protein,CG15358,GENE,Dmel\CG15358|mdcds_4396
NA,FlyBase:FBgn0005664,Crystallin,Crys,GENE,CG16963|Cry|DmelCry|Dmel\CG16963|c|dcy
NA,FlyBase:FBgn0036665,uncharacterized protein,CG13024,GENE,BcDNA:RH61817|Dmel\CG13024
NA,FlyBase:FBgn0032066,Lysosomal alpha-mannosidase III,LManIII,GENE,CG9463|Dmel\CG9463
NA,FlyBase:FBgn0027562,uncharacterized protein,CG10345,GENE,BcDNA|BcDNA:GH08773|Dmel\CG10345
NA,FlyBase:FBgn0033520,Peroxiredoxin 2540-1,Prx2540-1,GENE,1-cys peroxiredoxin DPx- 2540-1|BEST:LD11278|CG12405|DPx-2540-1|DPx2540|Dmel\CG12405|Prx2540
NA,FlyBase:FBgn0036780,uncharacterized protein,CG7330,GENE,BcDNA:RE22290|Dmel\CG7330
NA,FlyBase:FBgn0035844,uncharacterized protein,CG13676,GENE,Dmel\CG13676
NA,FlyBase:FBgn0010424,Troponin C at 73F,TpnC73F,GENE,CG7930|DmTnC3|DmTpnC73F|DmTpnCIa|Dmel\CG7930|TNC|TNC73F|TnC|TnC73F|Tnc2|TpnC Ia|TpnCIa|tpnC73F
NA,FlyBase:FBgn0035546,uncharacterized protein,CG11345,GENE,Dmel\CG11345
NA,FlyBase:FBgn0266702,NA,CR45192,GENE,NA
NA,FlyBase:FBgn0036321,uncharacterized protein,CG14120,GENE,Dmel\CG14120
NA,FlyBase:FBgn0036759,uncharacterized protein,CG5577,GENE,20151379|Dmel\CG5577
NA,FlyBase:FBgn0039311,uncharacterized protein,CG10513,GENE,CT29500|Dmel\CG10513
NA,FlyBase:FBgn0028583,la costa,lcs,GENE,CG12794|Dmel\CG12794
NA,FlyBase:FBgn0010423,Troponin C at 47D,TpnC47D,GENE,BcDNA:RE34610|CG9073|DmTnC2|DmTpnC47D|DmTpnCIb|Dmel\CG9073|TNC|TNC47D|TnC|TnC47D|Tnc3|TpnC Ib|TpnCIb
NA,FlyBase:FBgn0033541,uncharacterized protein,CG12934,GENE,Dmel\CG12934
NA,FlyBase:FBgn0034247,uncharacterized protein,CG6484,GENE,Dmel\CG6484
NA,FlyBase:FBgn0034974,uncharacterized protein,CG16786,GENE,Dmel\CG16786
NA,FlyBase:FBgn0054026,uncharacterized protein,CG34026,GENE,BP1064|Dmel\CG34026
NA,FlyBase:FBgn0035355,uncharacterized protein,CG16985,GENE,BcDNA:RE30174|Dmel\CG16985
NA,FlyBase:FBgn0262537,uncharacterized protein,CG43091,GENE,Dmel\CG43091
NA,FlyBase:FBgn0035484,uncharacterized protein,CG11594,GENE,Dmel\CG11594
NA,FlyBase:FBgn0040900,uncharacterized protein,CG17777,GENE,Dmel\CG17777
NA,FlyBase:FBgn0038577,uncharacterized protein,CG12321,GENE,Dmel\CG12321
NA,FlyBase:FBgn0036587,uncharacterized protein,CG4950,GENE,CT15890|Dmel\CG4950
NA,FlyBase:FBgn0036717,uncharacterized protein,CG13731,GENE,Dmel\CG13731
NA,FlyBase:FBgn0052195,uncharacterized protein,CG32195,GENE,Dmel\CG32195
NA,FlyBase:FBgn0036881,Cuticular protein 76Bd,Cpr76Bd,GENE,CG9299|DmelCpr76Bd|Dmel\CG9299
NA,FlyBase:FBgn0039801,Niemann-Pick type C-2h,Npc2h,GENE,BcDNA:GH26608|BcDNA:RH04252|BcDNA:RH68460|CG11315|DmML1A|Dmel\CG11315|npc2h
NA,FlyBase:FBgn0032283,uncharacterized protein,CG7296,GENE,BcDNA:RH68528|Dmel\CG7296
"This gene encodes an enzyme localized to the mitochondrial matrix which catalyzes the oxidative demethylation of sarcosine. This enzyme is distinct from another mitochondrial matrix enzyme, dimethylglycine dehydrogenase, which catalyzes a reaction resulting in the formation of sarcosine. Mutations in this gene are associated with sarcosinemia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Oct 2008].",FlyBase:FBgn0034276,sarcosine dehydrogenase,Sardh,GENE,BPR-2|DMGDHL1|SAR|SARD|SDH
NA,FlyBase:FBgn0267179,NA,CR45619,GENE,NA
NA,FlyBase:FBgn0032266,uncharacterized protein,CG18302,GENE,Dmel\CG18302
NA,FlyBase:FBgn0003356,Jonah 99Cii,Jon99Cii,GENE,99Calpha|CG31034|CG7877|Dmel\CG31034|Jon99B|Jon99C|Jon99C1|Jon99C2|Jon99Calpha|Jon99Calphai|Jon99Cbeta|Jon99Cbetaii|JonC|SER1|SP122|Ser1|Ser5|Ser99Da|Serl
NA,FlyBase:FBgn0036972,NA,CR6434,GENE,NA
NA,FlyBase:FBgn0032281,uncharacterized protein,CG17107,GENE,Dmel\CG17107
NA,FlyBase:FBgn0085313,uncharacterized protein,CG34284,GENE,Dmel\CG34284
NA,FlyBase:FBgn0040609,uncharacterized protein,CG3348,GENE,Dmel\CG3348
NA,FlyBase:FBgn0051077,uncharacterized protein,CG31077,GENE,Dmel\CG31077
